kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.83426731,176.58569,0.256,4.0454,988.4,2.74,595.0,29.62,45.1,1,q1_q17_dr25_tce,5537.0,4.549,0.88,293.01828,45.914688,15.412
9415172,K00938.01,Kepler-255 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.94602357,171.70192,0.035,3.3862,994.5,3.12,807.0,100.34,51.0,1,q1_q17_dr25_tce,5344.0,4.365,1.013,296.06424,45.976841,15.596
9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,1.04562195,133.91912,0.037,1.8955,213.0,1.45,1710.0,2031.84,25.3,2,q1_q17_dr25_tce,5344.0,4.365,1.013,296.06424,45.976841,15.596
9415172,K00938.03,Kepler-255 b,CONFIRMED,CANDIDATE,0.949,0,0,0,0,5.71462396,132.63866,0.503,2.336,297.8,1.78,971.0,210.16,16.7,3,q1_q17_dr25_tce,5344.0,4.365,1.013,296.06424,45.976841,15.596
9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.388012244,170.5336,0.433,2.6849,280.1,2.11,1315.0,705.93,30.6,1,q1_q17_dr25_tce,5553.0,4.221,1.25,292.58044,46.097389,15.065
9466668,K00939.02,Kepler-256 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.83909761,132.09261,0.341,3.1915,273.6,2.06,1097.0,341.48,25.2,2,q1_q17_dr25_tce,5553.0,4.221,1.25,292.58044,46.097389,15.065
9466668,K00939.03,Kepler-256 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.620467654,132.06388,0.271,2.1888,159.6,1.57,1681.0,1893.42,22.7,3,q1_q17_dr25_tce,5553.0,4.221,1.25,292.58044,46.097389,15.065
9466668,K00939.04,Kepler-256 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.6816951,131.55082,0.646,3.605,307.8,2.3,897.0,152.75,21.9,4,q1_q17_dr25_tce,5553.0,4.221,1.25,292.58044,46.097389,15.065
9479273,K00940.01,Kepler-734 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.104849417,169.573477,0.041,4.6912,2090.3,3.18,784.0,89.25,293.7,1,q1_q17_dr25_tce,5085.0,4.584,0.712,297.04562,46.027359,15.017
9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.581477136,174.787814,0.137,3.0896,2318.9,4.56,881.0,142.63,116.2,1,q1_q17_dr25_tce,5188.0,4.4,0.973,297.31598,46.023258,15.471
